subsite,phen_stage,definition,individual_or_plot,plot_aggregation,phen_stage_standardized,simple_phen,comments?
NIWOT.SADSNFC.MW,1st_flower,first flower or inflorescence visible,individual,,FF,Flower,
ADVENTDALEN.HEATH.EC,bud_individuals_first,,individual,,FIRSTINDIVIDUALSBUD,Green,
ADVENTDALEN.HEATH.EC,bud_individuals_last,,individual,,LASTINDIVIDUALSBUD,Green,
ADVENTDALEN.HEATH.EC,bud_plot_first,,plot,,FIRSTPLOTBUD,Green,
ADVENTDALEN.HEATH.EC,bud_plot_last,,plot,,LASTPLOTBUD,Green,
ADVENTDALEN.HEATH.EC,dispersal_individuals_first,,individual,,FIRSTINDIVIDUALSDISPERSAL,Disperse,
ADVENTDALEN.HEATH.EC,dispersal_individuals_last,,individual,,LASTINDIVIDUALSDISPERSAL,Disperse,
ADVENTDALEN.HEATH.EC,dispersal_plot_first,,plot,,FIRSTPLOTDISPERSAL,Disperse,
ADVENTDALEN.HEATH.EC,dispersal_plot_last,,plot,,LASTPLOTDISPERSAL,Disperse,
ADVENTDALEN.HEATH.EC,endflower_individuals_first,,individual,,FPE,FlowerEnd,
ADVENTDALEN.HEATH.EC,endflower_individuals_last,,individual,,LPE,FlowerEnd,
ADVENTDALEN.HEATH.EC,endflower_plot_first,,plot,,FPE,FlowerEnd,
ADVENTDALEN.HEATH.EC,endflower_plot_last,,plot,,LPE,FlowerEnd,
ADVENTDALEN.HEATH.EC,firstleaf_individuals_first,,individual,,FIRSTINDIVIDUALSFIRSTLEAF,Green,
ADVENTDALEN.HEATH.EC,firstleaf_plot_first,,plot,,FIRSTPLOTFIRSTLEAF,Green,
ADVENTDALEN.HEATH.EC,firstresponse_plot_first,,plot,,FIRSTPLOTFIRSTRESPONSE,NA,
ADVENTDALEN.HEATH.EC,firstsight_plot_first,,plot,,FIRSTPLOTFIRSTSIGHT,NA,
ADVENTDALEN.HEATH.EC,flower_individuals_first,,individual,,FF,Flower,
ADVENTDALEN.HEATH.EC,flower_individuals_last,,individual,,FO,Flower,
ADVENTDALEN.HEATH.EC,flower_plot_first,,plot,,FF,Flower,
ADVENTDALEN.HEATH.EC,flower_plot_last,,plot,,FO,Flower,
ADVENTDALEN.HEATH.EC,greenleaf_individuals_first,,individual,,FIRSTINDIVIDUALSGREENLEAF,Green,
ADVENTDALEN.HEATH.EC,greenleaf_plot_first,,plot,,FIRSTPLOTGREENLEAF,Green,
ADVENTDALEN.HEATH.EC,lastdispersal_plot_first,,plot,,FIRSTPLOTLASTDISPERSAL,Disperse,
ADVENTDALEN.HEATH.EC,lastflower_plot_first,,plot,,FIRSTPLOTLASTFLOWER,FlowerEnd,
ADVENTDALEN.HEATH.EC,ovary_plot_first,,individual,,FIRSTPLOTOVARY,Fruit,
ADVENTDALEN.HEATH.EC,pedicel_individuals_first,,individual,,FIRSTINDIVIDUALSPEDICEL,Flower,
ADVENTDALEN.HEATH.EC,pedicel_plot_first,,plot,,FIRSTPLOTPEDICEL,Flower,
ADVENTDALEN.HEATH.EC,senescence100_individuals_first,,individual,,FIRSTINDIVIDUALSSENESCENCE,Senesce,
ADVENTDALEN.HEATH.EC,senescence100_plot_first,,plot,,FIRSTPLOTSENESCENCE,Senesce,
ADVENTDALEN.HEATH.EC,senescence25_plot_first,,plot,,FIRSTPLOTSENESCENCE,Senesce,
ADVENTDALEN.HEATH.EC,senescence50_individuals_first,,individual,,FIRSTINDIVIDUALSSENESCENCE,Senesce,
ADVENTDALEN.HEATH.EC,senescence50_plot_first,,plot,,FIRSTPLOTSENESCENCE,Senesce,
ADVENTDALEN.HEATH.EC,senescence75_plot_first,,plot,,FIRSTPLOTSENESCENCE,Senesce,
ADVENTDALEN.HEATH.EC,senescencestart_individuals_first,,individual,,FIRSTINDIVIDUALSSENESCENCESTART,Senesce,
ADVENTDALEN.HEATH.EC,senescencestart_plot_first,,plot,,FIRSTPLOTSENESCENCESTART,Senesce,
ADVENTDALEN.HEATH.EC,twist_individuals_first,,individual,,FIRSTINDIVIDUALSTWIST,Disperse,
ADVENTDALEN.HEATH.EC,twist_individuals_last,,individual,,LASTINDIVIDUALSTWIST,Disperse,
ADVENTDALEN.HEATH.EC,twist_plot_first,,plot,,FIRSTPLOTTWIST,Disperse,
ADVENTDALEN.HEATH.EC,twist_plot_last,,plot,,LASTPLOTTWIST,Disperse,
ADVENTDALEN.HEATH.EC,yellowsenescence100_individuals_first,,individual,,FIRSTINDIVIDUALSYELLOWSENESCENCE,Senesce,
ADVENTDALEN.HEATH.EC,yellowsenescence100_plot_first,,plot,,FIRSTPLOTYELLOWSENESCENCE,Senesce,
ADVENTDALEN.MEADOW.EC,bud_individuals_first,,individual,,FIRSTINDIVIDUALSBUD,Green,
ADVENTDALEN.MEADOW.EC,bud_individuals_last,,individual,,LASTINDIVIDUALSBUD,Green,
ADVENTDALEN.MEADOW.EC,bud_plot_first,,plot,,FIRSTPLOTBUD,Green,
ADVENTDALEN.MEADOW.EC,bud_plot_last,,plot,,LASTPLOTBUD,Green,
ADVENTDALEN.MEADOW.EC,dispersal_individuals_first,,individual,,FIRSTINDIVIDUALSDISPERSAL,Disperse,
ADVENTDALEN.MEADOW.EC,dispersal_individuals_last,,individual,,LASTINDIVIDUALSDISPERSAL,Disperse,
ADVENTDALEN.MEADOW.EC,dispersal_plot_first,,plot,,FIRSTPLOTDISPERSAL,Disperse,
ADVENTDALEN.MEADOW.EC,dispersal_plot_last,,plot,,LASTPLOTDISPERSAL,Disperse,
ADVENTDALEN.MEADOW.EC,endflower_individuals_first,,individual,,FPE,FlowerEnd,
ADVENTDALEN.MEADOW.EC,endflower_individuals_last,,individual,,LPE,FlowerEnd,
ADVENTDALEN.MEADOW.EC,endflower_plot_first,,plot,,FPE,FlowerEnd,
ADVENTDALEN.MEADOW.EC,endflower_plot_last,,plot,,LPE,FlowerEnd,
ADVENTDALEN.MEADOW.EC,firstleaf_individuals_first,,individual,,FIRSTINDIVIDUALSFIRSTLEAF,Green,
ADVENTDALEN.MEADOW.EC,firstleaf_plot_first,,plot,,FIRSTPLOTFIRSTLEAF,Green,
ADVENTDALEN.MEADOW.EC,firstresponse_plot_first,,plot,,FIRSTPLOTFIRSTRESPONSE,NA,
ADVENTDALEN.MEADOW.EC,firstsight_plot_first,,plot,,FIRSTPLOTFIRSTSIGHT,NA,
ADVENTDALEN.MEADOW.EC,flower_individuals_first,,individual,,FF,Flower,
ADVENTDALEN.MEADOW.EC,flower_individuals_last,,individual,,FO,Flower,
ADVENTDALEN.MEADOW.EC,flower_plot_first,,plot,,FF,Flower,
ADVENTDALEN.MEADOW.EC,flower_plot_last,,plot,,FO,Flower,
ADVENTDALEN.MEADOW.EC,greenleaf_individuals_first,,individual,,FIRSTINDIVIDUALSGREENLEAF,Green,
ADVENTDALEN.MEADOW.EC,greenleaf_plot_first,,plot,,FIRSTPLOTGREENLEAF,Green,
ADVENTDALEN.MEADOW.EC,lastdispersal_plot_first,,plot,,FIRSTPLOTLASTDISPERSAL,Disperse,
ADVENTDALEN.MEADOW.EC,lastflower_plot_first,,plot,,FIRSTPLOTLASTFLOWER,FlowerEnd,
ADVENTDALEN.MEADOW.EC,ovary_plot_first,,individual,,FIRSTPLOTOVARY,Fruit,
ADVENTDALEN.MEADOW.EC,pedicel_individuals_first,,individual,,FIRSTINDIVIDUALSPEDICEL,Flower,
ADVENTDALEN.MEADOW.EC,pedicel_plot_first,,plot,,FIRSTPLOTPEDICEL,Flower,
ADVENTDALEN.MEADOW.EC,senescence100_individuals_first,,individual,,FIRSTINDIVIDUALSSENESCENCE,Senesce,
ADVENTDALEN.MEADOW.EC,senescence100_plot_first,,plot,,FIRSTPLOTSENESCENCE,Senesce,
ADVENTDALEN.MEADOW.EC,senescence25_plot_first,,plot,,FIRSTPLOTSENESCENCE,Senesce,
ADVENTDALEN.MEADOW.EC,senescence50_individuals_first,,individual,,FIRSTINDIVIDUALSSENESCENCE,Senesce,
ADVENTDALEN.MEADOW.EC,senescence50_plot_first,,plot,,FIRSTPLOTSENESCENCE,Senesce,
ADVENTDALEN.MEADOW.EC,senescence75_plot_first,,plot,,FIRSTPLOTSENESCENCE,Senesce,
ADVENTDALEN.MEADOW.EC,senescencestart_individuals_first,,individual,,FIRSTINDIVIDUALSSENESCENCESTART,Senesce,
ADVENTDALEN.MEADOW.EC,senescencestart_plot_first,,plot,,FIRSTPLOTSENESCENCESTART,Senesce,
ADVENTDALEN.MEADOW.EC,twist_individuals_first,,individual,,FIRSTINDIVIDUALSTWIST,Disperse,
ADVENTDALEN.MEADOW.EC,twist_individuals_last,,individual,,LASTINDIVIDUALSTWIST,Disperse,
ADVENTDALEN.MEADOW.EC,twist_plot_first,,plot,,FIRSTPLOTTWIST,Disperse,
ADVENTDALEN.MEADOW.EC,twist_plot_last,,plot,,LASTPLOTTWIST,Disperse,
ADVENTDALEN.MEADOW.EC,yellowsenescence100_individuals_first,,individual,,FIRSTINDIVIDUALSYELLOWSENESCENCE,Senesce,
ADVENTDALEN.MEADOW.EC,yellowsenescence100_plot_first,,plot,,FIRSTPLOTYELLOWSENESCENCE,Senesce,
ALEXFIORD.BEACHRIDGE.GH,bd_exp,first day a bud was observed,individual,,FLB,Green,
ALEXFIORD.BEACHRIDGE.GH,cap_ripe_l,last day that a mature capsule was observed,individual,,LFR,Fruit,
ALEXFIORD.BEACHRIDGE.GH,catkin_imm,first day an immature catkin was observed,individual,,CKIM,Flower,
ALEXFIORD.BEACHRIDGE.GH,fl_bbk,first day flower bud break was observed,individual,,FF,Flower,
ALEXFIORD.BEACHRIDGE.GH,fl_bbk_f,first day flower bud break was observed,individual,,FF,Flower,
ALEXFIORD.BEACHRIDGE.GH,fl_bbk_l,last day flower bud break was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.BEACHRIDGE.GH,fl_bds_f,first day a flower bud was observed,individual,,FF,Flower,
ALEXFIORD.BEACHRIDGE.GH,fl_bds_l,last day a flower bud was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.BEACHRIDGE.GH,fl_bud_f,first day a flower bud was observed,individual,,FF,Flower,
ALEXFIORD.BEACHRIDGE.GH,fl_bud_l,last day flower buds were observed,individual,,LPE,FlowerEnd,
ALEXFIORD.BEACHRIDGE.GH,fl_mat,first day a mature flower was observed,individual,,FO,Flower,
ALEXFIORD.BEACHRIDGE.GH,fl_mat_f,first day a mature flower was observed,individual,,FO,Flower,
ALEXFIORD.BEACHRIDGE.GH,fl_mat_l,last day a mature flower was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.BEACHRIDGE.GH,frt_imm_f,first day an immature fruit was observed,individual,,FIFR,Fruit,
ALEXFIORD.BEACHRIDGE.GH,frt_mat_f,first day a mature fruit was observed,individual,,FFR,Fruit,
ALEXFIORD.BEACHRIDGE.GH,grth_csd,first day of leaf death observed,individual,,OLWC,Senesce,
ALEXFIORD.BEACHRIDGE.GH,lv_bbk,first day a leaf bud break was observed,individual,,FLB,Green,
ALEXFIORD.BEACHRIDGE.GH,lv_exp,first day an expanded leaf was observed,individual,,FLE,Green,
ALEXFIORD.BEACHRIDGE.GH,lv_mat,first day a mature leaf was observed,individual,,FL,Green,
ALEXFIORD.BEACHRIDGE.GH,lv_new, first day a new leaf was observed,individual,,FL,Green,
ALEXFIORD.BEACHRIDGE.GH,lv_sen,first day a senesced leaf was observed,individual,,OLWC,Senesce,
ALEXFIORD.BEACHRIDGE.GH,pd_elo,first day pedicel elongation was observed,individual,,FF,Flower,
ALEXFIORD.BEACHRIDGE.GH,pt_sen_f, first day a senescing petal was observed ,individual,,FPE,FlowerEnd,
ALEXFIORD.BEACHRIDGE.GH,pt_sen_l, last day a senescing petal was observed ,individual,,LPE,FlowerEnd,
ALEXFIORD.BEACHRIDGE.GH,sd_disp,first day that seed dispersal was observed,individual,,SD,Disperse,
ALEXFIORD.BEACHRIDGE.GH,sh_bbk,first day a green leaf was observed,individual,,FL,Green,
ALEXFIORD.BEACHRIDGE.GH,sh_elo,first day shoot elogation was observed,individual,,SHE,Green,
ALEXFIORD.BEACHRIDGE.GH,veg_bbk,first day vegetative bud break (green) was observed ,individual,,FL,Green,
ALEXFIORD.CASSIOPE.GH,aborted,First day that an aborted flower is observed.  Characterized by a small dense half sphere of white fluff in senesced flower,individual,,ABO,Flower,
ALEXFIORD.CASSIOPE.GH,bd_exp,first day a bud was observed,individual,,FLB,Green,
ALEXFIORD.CASSIOPE.GH,cap_f,first day that a capsule was observed,individual,,FFR,Fruit,
ALEXFIORD.CASSIOPE.GH,cap_imm_f,first day an immature capsule was observed,individual,,FIFR,Fruit,
ALEXFIORD.CASSIOPE.GH,cap_imm_l,last day an immature capsule was observed,individual,,LIFR,Fruit,
ALEXFIORD.CASSIOPE.GH,cap_l,last day that a capsule was observed,individual,,LFR,Fruit,
ALEXFIORD.CASSIOPE.GH,cap_mat_f,first day an mature capsule was observed,individual,,FFR,Fruit,
ALEXFIORD.CASSIOPE.GH,cap_mat_l,last day an mature capsule was observed,individual,,LFR,Fruit,
ALEXFIORD.CASSIOPE.GH,fl_bbk,first day flower bud break was observed,individual,,FF,Flower,
ALEXFIORD.CASSIOPE.GH,fl_bbk_f,first day flower bud break was observed,individual,,FF,Flower,
ALEXFIORD.CASSIOPE.GH,fl_bbk_l,last day flower bud break was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.CASSIOPE.GH,fl_bds_f,first day a flower bud was observed,individual,,FF,Flower,
ALEXFIORD.CASSIOPE.GH,fl_bds_l,last day a flower bud was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.CASSIOPE.GH,fl_bud_f,first day a flower bud was observed,individual,,FF,Flower,
ALEXFIORD.CASSIOPE.GH,fl_bud_l,last day flower buds were observed,individual,,LPE,FlowerEnd,
ALEXFIORD.CASSIOPE.GH,fl_elo_f,first day an elongating bud was observed,individual,,FF,Flower,
ALEXFIORD.CASSIOPE.GH,fl_elo_l,last day an elongating bud was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.CASSIOPE.GH,fl_mat_f, first day a mature flower was observed,individual,,FO,Flower,
ALEXFIORD.CASSIOPE.GH,fl_mat_l,last day a mature flower was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.CASSIOPE.GH,fl_sen_f, first day a senescing petal was observed ,individual,,FPE,FlowerEnd,
ALEXFIORD.CASSIOPE.GH,fl_sen_l, last day a senescing petal was observed ,individual,,LPE,FlowerEnd,
ALEXFIORD.CASSIOPE.GH,frt_imm_f,first day an immature fruit was observed,individual,,FIFR,Fruit,
ALEXFIORD.CASSIOPE.GH,frt_mat_f,first day a mature fruit was observed,individual,,FFR,Fruit,
ALEXFIORD.CASSIOPE.GH,grth_csd,first day of leaf death observed,individual,,OLWC,Senesce,
ALEXFIORD.CASSIOPE.GH,lv_mat,first day a mature leaf was observed,individual,,FL,Green,
ALEXFIORD.CASSIOPE.GH,lv_new, first day a new leaf was observed,individual,,FL,Green,
ALEXFIORD.CASSIOPE.GH,lv_sen,first day a senesced leaf was observed,individual,,OLWC,Senesce,
ALEXFIORD.CASSIOPE.GH,pd_elo,first day pedicel elongation was observed,individual,,FF,Flower,
ALEXFIORD.CASSIOPE.GH,pt_sen_f, first day a senescing petal was observed ,individual,,FPE,FlowerEnd,
ALEXFIORD.CASSIOPE.GH,sd_disp,first day that seed dispersal was observed,individual,,SD,Disperse,
ALEXFIORD.CASSIOPE.GH,sh_bbk,first day a green leaf was observed,individual,,FL,Green,
ALEXFIORD.CASSIOPE.GH,sh_elo,first day shoot elogation was observed,individual,,SHE,Green,
ALEXFIORD.DOMEDOLOMITE.GH,cap_imm_f,first day an immature capsule was observed,individual,,FIFR,Fruit,
ALEXFIORD.DOMEDOLOMITE.GH,cap_ripe_f,first day that a mature capsule was observed,individual,,FFR,Fruit,
ALEXFIORD.DOMEDOLOMITE.GH,cap_ripe_l,last day that a mature capsule was observed,individual,,LFR,Fruit,
ALEXFIORD.DOMEDOLOMITE.GH,catkin_imm,first day an immature catkin was observed,individual,,CKIM,Flower,
ALEXFIORD.DOMEDOLOMITE.GH,female_swell,First day female catkins are swelling,individual,,FIFR,Fruit,
ALEXFIORD.DOMEDOLOMITE.GH,fl_bbk,first day flower bud break was observed,individual,,FF,Flower,
ALEXFIORD.DOMEDOLOMITE.GH,fl_bbk_f,first day flower bud break was observed,individual,,FF,Flower,
ALEXFIORD.DOMEDOLOMITE.GH,fl_bbk_l,last day flower bud break was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.DOMEDOLOMITE.GH,fl_bds_f,first day a flower bud was observed,individual,,FF,Flower,
ALEXFIORD.DOMEDOLOMITE.GH,fl_bds_l,last day a flower bud was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.DOMEDOLOMITE.GH,fl_mat,first day a mature flower was observed,individual,,FO,Flower,
ALEXFIORD.DOMEDOLOMITE.GH,fl_mat_f, first day a mature flower was observed,individual,,FO,Flower,
ALEXFIORD.DOMEDOLOMITE.GH,fl_mat_l,last day a mature flower was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.DOMEDOLOMITE.GH,fl_open_f,first day an open flower was observed,individual,,FO,Flower,
ALEXFIORD.DOMEDOLOMITE.GH,lv_bbk,first day a leaf bud break was observed,individual,,FL,Green,
ALEXFIORD.DOMEDOLOMITE.GH,lv_exp,first day an expanded leaf was observed,individual,,FL,Green,
ALEXFIORD.DOMEDOLOMITE.GH,lv_mat,first day a mature leaf was observed,individual,,FL,Green,
ALEXFIORD.DOMEDOLOMITE.GH,lv_sen,first day a senesced leaf was observed,individual,,OLWC,Senesce,
ALEXFIORD.DOMEDOLOMITE.GH,male_fl_sen,First day male catkins are senescing; pollen is dried up.,individual,,FPE,FlowerEnd,
ALEXFIORD.DOMEDOLOMITE.GH,pd_elon_f,first day pedicel elongation was observed,individual,,FF,Flower,
ALEXFIORD.DOMEDOLOMITE.GH,pt_fall_f,first day petals begin to fall from the inflorencence,individual,,FPE,FlowerEnd,
ALEXFIORD.DOMEDOLOMITE.GH,pt_sen_f, first day a senescing petal was observed ,individual,,FPE,FlowerEnd,
ALEXFIORD.DOMEDOLOMITE.GH,pt_sen_l, last day a senescing petal was observed ,individual,,LPE,FlowerEnd,
ALEXFIORD.DOMEDOLOMITE.GH,sd_disp,first day that seed dispersal was observed,individual,,SD,Disperse,
ALEXFIORD.DOMEDOLOMITE.GH,veg_bbk,first day vegetative bud break (green) was observed ,individual,,FL,Green,
ALEXFIORD.DOMEGRANITE.GH,cap_imm_f,first day an immature capsule was observed,individual,,FIFR,Fruit,
ALEXFIORD.DOMEGRANITE.GH,cap_ripe_f,first day that a mature capsule was observed,individual,,FFR,Fruit,
ALEXFIORD.DOMEGRANITE.GH,cap_ripe_l,last day that a mature capsule was observed,individual,,LFR,Fruit,
ALEXFIORD.DOMEGRANITE.GH,catkin_imm,first day an immature catkin was observed,individual,,CKIM,Flower,
ALEXFIORD.DOMEGRANITE.GH,female_swell,First day female catkins are swelling,individual,,FIFR,Fruit,
ALEXFIORD.DOMEGRANITE.GH,fl_bbk,first day flower bud break was observed,individual,,FF,Flower,
ALEXFIORD.DOMEGRANITE.GH,fl_bbk_f,first day flower bud break was observed,individual,,FF,Flower,
ALEXFIORD.DOMEGRANITE.GH,fl_bbk_l,last day flower bud break was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.DOMEGRANITE.GH,fl_bds_f,first day a flower bud was observed,individual,,FF,Flower,
ALEXFIORD.DOMEGRANITE.GH,fl_bds_l,last day a flower bud was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.DOMEGRANITE.GH,fl_mat,first day a mature flower was observed,individual,,FO,Flower,
ALEXFIORD.DOMEGRANITE.GH,fl_mat_f, first day a mature flower was observed,individual,,FO,Flower,
ALEXFIORD.DOMEGRANITE.GH,fl_mat_l,last day a mature flower was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.DOMEGRANITE.GH,fl_open_f,first day an open flower was observed,individual,,FO,Flower,
ALEXFIORD.DOMEGRANITE.GH,lv_bbk,first day a leaf bud break was observed,individual,,FL,Green,
ALEXFIORD.DOMEGRANITE.GH,lv_exp,first day an expanded leaf was observed,individual,,FL,Green,
ALEXFIORD.DOMEGRANITE.GH,lv_mat,first day a mature leaf was observed,individual,,FL,Green,
ALEXFIORD.DOMEGRANITE.GH,lv_sen,first day a senesced leaf was observed,individual,,OLWC,Senesce,
ALEXFIORD.DOMEGRANITE.GH,male_fl_sen,First day male catkins are senescing; pollen is dried up.,individual,,FPE,FlowerEnd,
ALEXFIORD.DOMEGRANITE.GH,pd_elon_f,first day pedicel elongation was observed,individual,,FF,Flower,
ALEXFIORD.DOMEGRANITE.GH,pt_fall_f,first day petals begin to fall from the inflorencence,individual,,FPE,FlowerEnd,
ALEXFIORD.DOMEGRANITE.GH,pt_sen_f, first day a senescing petal was observed ,individual,,FPE,FlowerEnd,
ALEXFIORD.DOMEGRANITE.GH,pt_sen_l, last day a senescing petal was observed ,individual,,LPE,FlowerEnd,
ALEXFIORD.DOMEGRANITE.GH,sd_disp,first day that seed dispersal was observed,individual,,SD,Disperse,
ALEXFIORD.DOMEGRANITE.GH,unisex_senescence ,"1994 Dome - G; When sex is not specified, flower senescence (female or male, we cannot tell) is indicated in this column.",individual,,FPE,FlowerEnd,
ALEXFIORD.DOMEGRANITE.GH,veg_bbk,first day vegetative bud break (green) was observed ,individual,,FL,Green,
ALEXFIORD.DRYAS.GH,aborted,First day that an aborted flower is observed.  Characterized by a small dense half sphere of white fluff in senesced flower,individual,,ABO,Flower,
ALEXFIORD.DRYAS.GH,bd_exp,first day a bud was observed,individual,,FLB,Green,
ALEXFIORD.DRYAS.GH,cap_f,first day that a capsule was observed,individual,,FFR,Fruit,
ALEXFIORD.DRYAS.GH,cap_imm_f,first day an immature capsule was observed,individual,,FIFR,Fruit,
ALEXFIORD.DRYAS.GH,cap_imm_l,last day an immature capsule was observed,individual,,LIFR,Fruit,
ALEXFIORD.DRYAS.GH,cap_l,last day that a capsule was observed,individual,,LFR,Fruit,
ALEXFIORD.DRYAS.GH,cap_mat_f,first day an mature capsule was observed,individual,,FFR,Fruit,
ALEXFIORD.DRYAS.GH,cap_mat_l,last day an mature capsule was observed,individual,,LFR,Fruit,
ALEXFIORD.DRYAS.GH,fl_bbk,first day flower bud break was observed,individual,,FF,Flower,
ALEXFIORD.DRYAS.GH,fl_bbk_f,first day flower bud break was observed,individual,,FF,Flower,
ALEXFIORD.DRYAS.GH,fl_bbk_l,last day flower bud break was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.DRYAS.GH,fl_bds_f,first day a flower bud was observed,individual,,FF,Flower,
ALEXFIORD.DRYAS.GH,fl_bds_l,last day a flower bud was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.DRYAS.GH,fl_bud_f,first day a flower bud was observed,individual,,FF,Flower,
ALEXFIORD.DRYAS.GH,fl_bud_l,last day flower buds were observed,individual,,LPE,FlowerEnd,
ALEXFIORD.DRYAS.GH,fl_buds,first day a flower bud was observed,individual,,FF,Flower,
ALEXFIORD.DRYAS.GH,fl_elo_f,first day an elongating bud was observed,individual,,FF,Flower,
ALEXFIORD.DRYAS.GH,fl_elo_l,last day an elongating bud was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.DRYAS.GH,fl_exp,first day a expanding flower was observed,individual,,FF,Flower,
ALEXFIORD.DRYAS.GH,fl_mat,first day a mature flower was observed,individual,,FO,Flower,
ALEXFIORD.DRYAS.GH,fl_mat_f, first day a mature flower was observed,individual,,FO,Flower,
ALEXFIORD.DRYAS.GH,fl_mat_l,last day a mature flower was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.DRYAS.GH,fl_sen,first day a senescing flower was observed,individual,,FPE,FlowerEnd,
ALEXFIORD.DRYAS.GH,fl_sen_f, first day a senescing petal was observed ,individual,,FPE,FlowerEnd,
ALEXFIORD.DRYAS.GH,fl_sen_l,last day a senescing flower was observed,individual,,LPE,FlowerEnd,
ALEXFIORD.DRYAS.GH,frt_imm_f,first day an immature fruit was observed,individual,,FIFR,Fruit,
ALEXFIORD.DRYAS.GH,frt_mat_f,first day a mature fruit was observed,individual,,FFR,Fruit,
ALEXFIORD.DRYAS.GH,grth_csd,first day of leaf death observed,individual,,OLWC,Senesce,
ALEXFIORD.DRYAS.GH,lv_bbk,first day a leaf bud break was observed,individual,,FL,Green,
ALEXFIORD.DRYAS.GH,lv_bud,first day a leaf bud was observed,individual,,FL,Green,
ALEXFIORD.DRYAS.GH,lv_exp,first day an expanded leaf was observed,individual,,FL,Green,
ALEXFIORD.DRYAS.GH,lv_mat,first day a mature leaf was observed,individual,,FL,Green,
ALEXFIORD.DRYAS.GH,lv_new, first day a new leaf was observed,individual,,FL,Green,
ALEXFIORD.DRYAS.GH,lv_sen,first day a senesced leaf was observed,individual,,OLWC,Senesce,
ALEXFIORD.DRYAS.GH,pd_elo,first day pedicel elongation was observed,individual,,FF,Flower,
ALEXFIORD.DRYAS.GH,pt_sen_f, first day a senescing petal was observed ,individual,,FPE,FlowerEnd,
ALEXFIORD.DRYAS.GH,pt_sen_l, last day a senescing petal was observed ,individual,,LPE,FlowerEnd,
ALEXFIORD.DRYAS.GH,sd_disp,first day that seed dispersal was observed,individual,,SD,Disperse,
ALEXFIORD.DRYAS.GH,sh_bbk,first day a green leaf was observed,individual,,FL,Green,
ALEXFIORD.DRYAS.GH,sh_elo,first day shoot elogation was observed,individual,,SHE,Green,
ALEXFIORD.FERT.GH,bd_exp,first day a bud was observed,individual,,FLB,Green,
ALEXFIORD.FERT.GH,cap_f,first day that a capsule was observed,individual,,FFR,Fruit,
