"year","treatment","spp","phen_stage","subsite","site_name","ct","ct_na"
2002,"CTL","CASTET","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2002,"CTL","CASTET","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2002,"CTL","CASTET","FPE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2002,"CTL","CASTET","PE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2002,"CTL","DRYOCT","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,2
2002,"CTL","DRYOCT","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,0
2002,"CTL","DRYOCT","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,0
2002,"CTL","DRYOCT","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,3
2002,"CTL","DRYOCT","FPO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,1
2002,"CTL","DRYOCT","FU","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,1
2002,"CTL","DRYOCT","LPE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,1
2002,"CTL","DRYOCT","SD","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,0
2002,"CTL","DRYOCT","TW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,0
2002,"CTL","POLVIV","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,4
2002,"CTL","POLVIV","FB","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,4
2002,"CTL","POLVIV","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,3
2002,"CTL","POLVIV","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,4
2002,"CTL","POLVIV","FL","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,4
2002,"CTL","POLVIV","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,0
2002,"CTL","SALPOL","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2002,"CTL","SALPOL","FA","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2002,"CTL","SALPOL","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2002,"CTL","SALPOL","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2002,"CTL","SALPOL","FS","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2002,"CTL","SALPOL","LPO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2002,"CTL","SALPOL","OVS","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2002,"CTL","SALPOL","PO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,4
2002,"CTL","SALPOL","SD","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,3
2002,"OTC","CASTET","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2002,"OTC","CASTET","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2002,"OTC","CASTET","FPE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2002,"OTC","CASTET","PE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2002,"OTC","DRYOCT","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,4
2002,"OTC","DRYOCT","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2002,"OTC","DRYOCT","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2002,"OTC","DRYOCT","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2002,"OTC","DRYOCT","FPO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2002,"OTC","DRYOCT","FU","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2002,"OTC","DRYOCT","LPE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2002,"OTC","DRYOCT","SD","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2002,"OTC","DRYOCT","TW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2002,"OTC","POLVIV","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",3,1
2002,"OTC","POLVIV","FB","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",3,2
2002,"OTC","POLVIV","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",3,1
2002,"OTC","POLVIV","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",3,2
2002,"OTC","POLVIV","FL","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",3,3
2002,"OTC","POLVIV","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",3,0
2002,"OTC","SALPOL","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2002,"OTC","SALPOL","FA","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,4
2002,"OTC","SALPOL","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2002,"OTC","SALPOL","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2002,"OTC","SALPOL","FS","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,4
2002,"OTC","SALPOL","LPO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2002,"OTC","SALPOL","OVS","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,3
2002,"OTC","SALPOL","PO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2002,"OTC","SALPOL","SD","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2003,"CTL","CASTET","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"CTL","CASTET","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"CTL","CASTET","FPE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"CTL","CASTET","PE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"CTL","DRYOCT","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"CTL","DRYOCT","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2003,"CTL","DRYOCT","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2003,"CTL","DRYOCT","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2003,"CTL","DRYOCT","FPO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,3
2003,"CTL","DRYOCT","FU","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,3
2003,"CTL","DRYOCT","LPE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2003,"CTL","DRYOCT","SD","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2003,"CTL","DRYOCT","TW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"CTL","POLVIV","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2003,"CTL","POLVIV","FB","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,4
2003,"CTL","POLVIV","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,3
2003,"CTL","POLVIV","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2003,"CTL","POLVIV","FL","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"CTL","POLVIV","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2003,"CTL","SALPOL","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"CTL","SALPOL","FA","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"CTL","SALPOL","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"CTL","SALPOL","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"CTL","SALPOL","FS","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2003,"CTL","SALPOL","LPO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"CTL","SALPOL","OVS","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2003,"CTL","SALPOL","PO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,3
2003,"CTL","SALPOL","SD","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,4
2003,"OTC","CASTET","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"OTC","CASTET","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"OTC","CASTET","FPE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"OTC","CASTET","PE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"OTC","DRYOCT","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"OTC","DRYOCT","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,4
2003,"OTC","DRYOCT","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"OTC","DRYOCT","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2003,"OTC","DRYOCT","FPO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,3
2003,"OTC","DRYOCT","FU","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2003,"OTC","DRYOCT","LPE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"OTC","DRYOCT","SD","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,3
2003,"OTC","DRYOCT","TW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"OTC","POLVIV","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2003,"OTC","POLVIV","FB","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,3
2003,"OTC","POLVIV","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,3
2003,"OTC","POLVIV","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2003,"OTC","POLVIV","FL","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2003,"OTC","POLVIV","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2003,"OTC","SALPOL","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2003,"OTC","SALPOL","FA","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,3
2003,"OTC","SALPOL","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2003,"OTC","SALPOL","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2003,"OTC","SALPOL","FS","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2003,"OTC","SALPOL","LPO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2003,"OTC","SALPOL","OVS","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,4
2003,"OTC","SALPOL","PO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2003,"OTC","SALPOL","SD","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,4
2004,"CTL","CASTET","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2004,"CTL","CASTET","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2004,"CTL","CASTET","FPE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2004,"CTL","CASTET","PE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2004,"CTL","DRYOCT","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2004,"CTL","DRYOCT","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2004,"CTL","DRYOCT","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2004,"CTL","DRYOCT","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2004,"CTL","DRYOCT","FPO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,4
2004,"CTL","DRYOCT","FU","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2004,"CTL","DRYOCT","LPE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2004,"CTL","DRYOCT","SD","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,4
2004,"CTL","DRYOCT","TW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2004,"CTL","POLVIV","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,0
2004,"CTL","POLVIV","FB","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,4
2004,"CTL","POLVIV","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,1
2004,"CTL","POLVIV","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,0
2004,"CTL","POLVIV","FL","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,3
2004,"CTL","POLVIV","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,0
2004,"CTL","SALPOL","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2004,"CTL","SALPOL","FA","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2004,"CTL","SALPOL","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2004,"CTL","SALPOL","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2004,"CTL","SALPOL","FS","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,4
2004,"CTL","SALPOL","LPO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2004,"CTL","SALPOL","OVS","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2004,"CTL","SALPOL","PO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2004,"CTL","SALPOL","SD","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2004,"OTC","CASTET","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2004,"OTC","CASTET","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2004,"OTC","CASTET","FPE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2004,"OTC","CASTET","PE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2004,"OTC","DRYOCT","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2004,"OTC","DRYOCT","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2004,"OTC","DRYOCT","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2004,"OTC","DRYOCT","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2004,"OTC","DRYOCT","FPO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2004,"OTC","DRYOCT","FU","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2004,"OTC","DRYOCT","LPE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2004,"OTC","DRYOCT","SD","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2004,"OTC","DRYOCT","TW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2004,"OTC","POLVIV","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,0
2004,"OTC","POLVIV","FB","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,4
2004,"OTC","POLVIV","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,0
2004,"OTC","POLVIV","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,2
2004,"OTC","POLVIV","FL","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,4
2004,"OTC","POLVIV","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,0
2004,"OTC","SALPOL","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2004,"OTC","SALPOL","FA","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,3
2004,"OTC","SALPOL","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2004,"OTC","SALPOL","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,3
2004,"OTC","SALPOL","FS","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2004,"OTC","SALPOL","LPO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,4
2004,"OTC","SALPOL","OVS","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2004,"OTC","SALPOL","PO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2004,"OTC","SALPOL","SD","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2005,"CTL","CASTET","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2005,"CTL","CASTET","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2005,"CTL","CASTET","FPE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2005,"CTL","CASTET","PE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2005,"CTL","DRYOCT","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2005,"CTL","DRYOCT","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2005,"CTL","DRYOCT","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2005,"CTL","DRYOCT","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2005,"CTL","DRYOCT","FPO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2005,"CTL","DRYOCT","FU","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2005,"CTL","DRYOCT","LPE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2005,"CTL","DRYOCT","SD","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,4
2005,"CTL","DRYOCT","TW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2005,"CTL","POLVIV","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",3,0
2005,"CTL","POLVIV","FB","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",3,2
2005,"CTL","POLVIV","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",3,0
2005,"CTL","POLVIV","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",3,0
2005,"CTL","POLVIV","FL","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",3,3
2005,"CTL","POLVIV","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",3,0
2005,"CTL","SALPOL","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2005,"CTL","SALPOL","FA","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2005,"CTL","SALPOL","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2005,"CTL","SALPOL","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2005,"CTL","SALPOL","FS","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,3
2005,"CTL","SALPOL","LPO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2005,"CTL","SALPOL","OVS","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2005,"CTL","SALPOL","PO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2005,"CTL","SALPOL","SD","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2005,"OTC","CASTET","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2005,"OTC","CASTET","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2005,"OTC","CASTET","FPE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2005,"OTC","CASTET","PE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2005,"OTC","DRYOCT","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2005,"OTC","DRYOCT","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2005,"OTC","DRYOCT","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2005,"OTC","DRYOCT","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2005,"OTC","DRYOCT","FPO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2005,"OTC","DRYOCT","FU","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2005,"OTC","DRYOCT","LPE","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2005,"OTC","DRYOCT","SD","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2005,"OTC","DRYOCT","TW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,0
2005,"OTC","POLVIV","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,0
2005,"OTC","POLVIV","FB","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,3
2005,"OTC","POLVIV","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,1
2005,"OTC","POLVIV","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,2
2005,"OTC","POLVIV","FL","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,4
2005,"OTC","POLVIV","FO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",4,0
2005,"OTC","SALPOL","AW","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2005,"OTC","SALPOL","FA","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2005,"OTC","SALPOL","FC","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2005,"OTC","SALPOL","FF","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,1
2005,"OTC","SALPOL","FS","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2005,"OTC","SALPOL","LPO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,2
2005,"OTC","SALPOL","OVS","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2005,"OTC","SALPOL","PO","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
2005,"OTC","SALPOL","SD","ENDALEN.CASSIOPE_LOW.IJ","ENDALEN",5,5
